City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,khorinsk,52.1657,109.7726,-22.73,100,37,1.02,RU,1707416859
173,makokou,0.5738,12.8642,28.91,46,64,1.51,GA,1707416860
174,namdrik,5.5994,168.1028,27.85,78,62,9.2,MH,1707416860
175,urengoy,65.9667,78.3667,-6.39,93,99,7.61,RU,1707416696
176,belmonte,-15.8631,-38.8828,26.36,83,100,0.78,BR,1707416860
177,anadyr,64.75,177.4833,-9.72,85,20,11.0,RU,1707416637
178,mount gambier,-37.8333,140.7667,10.82,91,5,2.46,AU,1707416707
179,harper,4.375,-7.7169,28.28,73,2,4.75,LR,1707416860
180,bakanas,44.8081,76.2772,1.67,91,98,6.9,KZ,1707416860
181,isafjordur,66.0755,-23.124,-4.98,68,75,1.54,IS,1707416660
182,manaure,11.7751,-72.4445,27.2,66,63,5.81,CO,1707416861
183,usinsk,65.9939,57.5281,-3.85,85,100,4.47,RU,1707416664
184,sen monorom,12.45,107.2,19.37,91,44,1.27,KH,1707416861
185,maragogi,-9.0122,-35.2225,30.33,64,38,6.11,BR,1707416861
186,murray bridge,-35.1167,139.2667,14.51,81,0,3.95,AU,1707416861
187,trincomalee,8.5711,81.2335,26.44,74,100,4.83,LK,1707416861
188,queenstown,-31.8976,26.8753,16.65,81,0,5.26,ZA,1707416692
189,talara,-4.5772,-81.2719,31.42,66,40,5.14,PE,1707416862
190,puerto maldonado,-12.6,-69.1833,32.22,66,75,3.09,PE,1707416862
191,armacao de buzios,-22.7469,-41.8817,30.68,75,44,4.49,BR,1707416862
192,port lincoln,-34.7333,135.8667,16.05,82,1,5.91,AU,1707416692
193,steamboat springs,40.485,-106.8317,-2.07,84,100,2.06,US,1707416733
194,port macquarie,-31.4333,152.9167,18.27,86,72,4.41,AU,1707416660
195,huarmey,-10.0681,-78.1522,27.46,71,85,4.31,PE,1707416653
196,box elder,41.5005,-112.8764,2.37,76,88,1.16,US,1707416862
197,ouarzazat,30.9189,-6.8934,20.16,9,40,2.06,MA,1707416862
198,weno,7.4515,151.8468,26.97,89,100,4.63,FM,1707416655
199,edd,13.9297,41.6925,28.62,55,29,9.53,ER,1707416863
200,hotan,37.0997,79.9269,-0.72,52,3,1.4,CN,1707416863
201,colby,39.3958,-101.0524,10.29,56,0,10.29,US,1707416863
202,khandyga,62.6667,135.6,-45.72,100,71,0.94,RU,1707416704
203,paracuru,-3.41,-39.0306,30.06,64,34,6.17,BR,1707416863
204,jilib,0.4883,42.7854,26.48,80,50,4.44,SO,1707416863
205,damara,4.9608,18.7035,29.6,24,54,1.39,CF,1707416864
206,namibe,-15.1961,12.1522,25.74,79,83,3.52,AO,1707416672
207,zhezqazghan,47.7833,67.7667,0.91,97,100,10.34,KZ,1707416864
208,kayes,14.0,-11.0,36.14,7,95,4.04,ML,1707416864
209,fuglafjordur,62.244,-6.814,-1.74,62,100,6.93,FO,1707416864
210,sastobe,42.55,70.0,5.94,75,94,2.42,KZ,1707416864
211,emerald,-23.5333,148.1667,22.41,80,25,3.21,AU,1707416864
212,utrik,11.2278,169.8474,26.47,84,98,9.93,MH,1707416865
213,constantia,44.1833,28.65,7.38,62,28,3.5,RO,1707416645
214,fale old settlement,-9.3852,-171.2468,27.96,79,100,8.67,TK,1707416649
215,yangambi,0.8102,24.4336,27.25,29,0,1.02,CD,1707416865
216,bandon,51.7469,-8.7425,10.77,97,100,3.31,IE,1707416865
217,zaragoza,41.6561,-0.8773,13.04,63,20,2.57,ES,1707416865
218,colonia,50.9333,6.95,11.37,88,100,3.6,DE,1707416551
219,nuuk,64.1835,-51.7216,-10.66,79,75,4.12,GL,1707416674
220,christchurch,-43.5333,172.6333,13.03,89,100,0.0,NZ,1707416170
221,esfarayen,37.0765,57.5101,1.81,60,0,1.18,IR,1707416775
222,mont-dore,-22.2833,166.5833,26.67,99,100,4.39,NC,1707416866
223,chaoyang,41.5703,120.4586,-4.86,53,72,0.47,CN,1707416866
224,uglekamensk,43.2172,133.2303,-14.13,95,18,1.04,RU,1707416866
225,broken hill,-31.95,141.4333,22.45,41,39,4.0,AU,1707416716
226,kandi,11.1342,2.9386,29.02,12,5,2.27,BJ,1707416866
227,east london,-33.0153,27.9116,19.52,88,0,1.03,ZA,1707416663
228,haiku-pauwela,20.9219,-156.3051,19.82,73,20,1.54,US,1707416652
229,lisala,2.15,21.5167,27.62,33,35,1.09,CD,1707416867
230,luderitz,-26.6481,15.1594,21.02,71,21,10.54,NA,1707416677
231,reggane,26.7158,0.1714,20.65,13,0,2.17,DZ,1707416867
232,duki,30.1541,68.5728,11.25,38,0,2.52,PK,1707416867
233,pangody,65.85,74.4859,-5.58,93,99,7.96,RU,1707416700
234,chonchi,-42.6128,-73.8092,18.56,39,50,2.75,CL,1707416679
235,new norfolk,-42.7826,147.0587,12.18,90,81,1.65,AU,1707416717
236,businga,3.3333,20.8833,28.39,31,72,0.88,CD,1707416867
237,yuzhno-kurilsk,44.0306,145.8556,-7.57,92,20,5.78,RU,1707416645
238,iwakuni,34.15,132.1833,3.79,74,96,2.56,JP,1707416868
239,vorkuta,67.5,64.0,-9.5,83,100,6.35,RU,1707416868
240,ashburton,-37.8626,145.0794,17.43,85,57,0.45,AU,1707416868
241,buka,40.8108,69.1986,9.29,51,100,1.11,UZ,1707416868
242,kirakira,-10.4544,161.9205,27.72,82,100,7.1,SB,1707416868
243,sursk,53.0754,45.6846,-14.67,94,100,5.87,RU,1707416868
244,torghay,49.6339,63.4981,2.37,97,100,10.49,KZ,1707416868
245,as sulayyil,20.4607,45.5779,17.14,41,37,6.03,SA,1707416869
246,grantsville,40.5999,-112.4644,4.27,81,100,0.0,US,1707416869
247,chaozhou,23.6651,116.6379,9.92,82,99,2.18,CN,1707416869
248,ekibastuz,51.6667,75.3667,-1.91,85,100,11.37,KZ,1707416869
249,crane,31.3974,-102.3501,13.15,31,62,8.26,US,1707416638
250,marsassoum,12.8275,-15.9806,36.05,6,78,3.06,SN,1707416869
251,qarauyl,48.9451,79.255,-5.2,81,100,12.8,KZ,1707416869
252,oriximina,-1.7656,-55.8661,33.43,46,60,1.5,BR,1707416869
253,st. john's,47.5649,-52.7093,-0.17,88,100,7.72,CA,1707416661
254,richards bay,-28.783,32.0377,23.38,78,24,2.13,ZA,1707416870
255,yelizovo,53.1873,158.3805,-10.98,72,75,4.02,RU,1707416663
256,santo domingo de los colorados,-0.25,-79.15,25.82,84,100,1.23,EC,1707416870
